customer_tweet_id,customer_text,brand_response,intent
1788830,Or maybe this is an problem?!,"We're here for you! Have you tried powering off and restarting since you updated? If not, please try that. Also, DM us.",Other / Unclear
1305650,just uploaded a song I was making on GarageBand onto my iCloud and then it disappeared and is nowhere to be found. HELP!!,"Reach out to us via DM, then we can work with you on this from there.",Apple Services / Media
1186611,"Omg, mine is like this too 😩 Did you get it fixed? How?",We'd love to help figure this out with you. Does a restart of your phone and camera app help? Which iOS version are you running?,Other / Unclear
2926496,Hey Tim when we get a fix for the Problem with the login from root against a password?,"We'd love to help you out with that, feel free to reach out to us in DM and we'll get you pointed in the right direction.",Account / Security
1225254,U better fix ios11 updates. I have to recharge my IPhone6 battery 3 times in a day or more and performance is poor vs ios10.,We're here for you. Can you let us know which version of iOS 11 you're running? You can check from Settings > General > About.,Battery
1596101,update this trash software already. My phone barely works.,Issue with your iPhone? We can help. DM us with more details to get started.,Software / OS Update
2686697,Gifs pause my music I’ve about had it with ur shit,Let's look into this together. Which device are you using? Are you using the Music app to listen to your music or another app? Which app are you using to view GIFs when the music stops?,Apple Services / Media
2212858,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️. Wtf?,"Here's help with that! iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and DM us if the issue persists afterwards. How to back up:",Keyboard / Input
2239370,Wish would fix this WiFi turning on whenever it bloody pleases issue out.,"We appreciate you reaching out. To verify, are you disabling Wi-Fi via the Settings App or the Control Center?",Connectivity
1635737,FIX THIS !!!!!,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Other / Unclear
1748058,why is it every time a new phone comes out mine stops working im not made of mONEY,"We want your iPhone working for you; we'll do all we can to help. To start, can you describe for us what's happening?",Software / OS Update
2133426,has anyone else notice this little corny ass “I️” ... Apple is bullshitting give us back the regular I️ on the keyboard and take this bullshit back THANKS IN ADVANCE,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Keyboard / Input
536644,"Starting Dec 1 - Safari crashing, Mail asking for passwords, Messages won't start, ""Month 13 is out of bounds"" messages in Console. Basically the same as this guy:",We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started.,App Problem
2008117,"I’m trying to update my series 2 watch, keeps saying error occurred. 1st time it started working but didn’t finish I think.",Thanks for reaching out to us. Can you DM us the exact error messages you are receiving when attempting to update?,Software / OS Update
2736419,why does my music stop every time i get a notification or even for no reason at all plz help i’m sick of it😩 legit happens like 5 times a minute,Thanks for reaching out. Please DM us which device is having the issue. We'll start there.,Apple Services / Media
2614270,": This is my first official Tweet. I’m frustrated with iTunes, iCloud, and the inability to easily transfer music. Now, half my playlists seem to have disappeared. Yes, I have turned it off and on again. I shouldn’t have to contact an iTunes rep to figure this out!",Thanks for reaching out to us. We hate to hear you haven't enjoyed your experience. We are always happy to help. Send us a DM so we can look into this with you together.,Apple Services / Media
2080104,"Thanks #iOS11 for this wi-fi issue, going on and off from time to time #iPhone6",Go ahead and DM us some details about where and when this happens. We'll do our best to help out with your Wi-Fi.,Connectivity
1342956,"I can’t setup a username for Apple Communities, tried 2 devices 3 browsers. Fails after when agreeing terms with a form error.",We'd like to get you on the right path. Send us a DM.,Account / Security
2149129,WHERE IS THE DAMN UPDATE THIS I️ SHIT IS ANNOYING,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Software / OS Update
2414377,My iPhone 8 Plus is getting stuck too much . Need help non acceptable service,"We want your iPhone working for you; we'll do all we can to help. To start, may we know what iOS version is installed? You can find that here: Settings > General > About. Also, by ""stuck"" do you mean that your iPhone is slow or unresponsive? Or both?",Device Performance
1296681,"When I'm on Wi-Fi apps & data struggle. Websites hang, Instagram won't load. Stuff like that. Disabling WiFi then loads immediately cellular",Thank you for those details. Is Wi-Fi Assist on under Settings > Cellular? DM us to let us know.,Connectivity
1596042,Dear please fix the dumb “I️” issue . . . . It’s extremely annoying,Thanks for reaching out. You can read up on this & find a helpful tip here:,Keyboard / Input
1766087,"What i want to say that since your last update iOS 11 i have a lots of bugs, and my phone become slow and it restarted 2 times alone ..",We want you to be able to enjoy using your iPhone after the update. Please DM us letting us know when you completed the update.,Device Performance
1346249,Yep. I've tried it so many times. This problem has occurred after updating my device to iOS 11.,"We'd like to work with you, send us a DM and tell us a bit more about what you're seeing.",Software / OS Update
2866187,Great! Now i lost my spot in the line. Can I still go and talk to someone or do i need to get an appointment now since my response was ignored to get my phone fixed?,We know it must be troublesome to have lost your position. You would need to create a new appointment or you can check if you prior appointment can be changed locally. Did you set up the appointment with us here? Send us a DM.,Other / Unclear
2048412,"Updated my Watch to 4.0.1 to fix connectivity issues, update bricked it. Contacted support, but now wants me to pay them for service?",We'd like to look more into this with you. Please meet us in DM so we can gather information and better assist you.,Connectivity
431647,why does music pause if I go to a website that may have videos like when I don’t launch vid??? #bug,We can certainly look into this with you. Which device are you using? Which iOS or macOS are you running?,Apple Services / Media
2284691,My phone went from 35% to 18% in 5 minuets...fix this shit,Great battery life is important. Let's pair up in DM to take a closer look at what you're seeing.,Battery
2562356,I would either move it to my laptop or put it on an external hard drive which could be accessed from both computers.,"Check out the following article for information on how to transfer an iTunes Library: For your iPod, meet us in DM and we can look in to options for it from there.",Other / Unclear
2709980,"I couldn't send out a text a call, an email or anything. Apps Kept crashing even after a hard reset.","Which version of iOS are you running, specifically? Let us know in a DM.",Device Performance
2047965,my phone battery is dying quicker than the black guy in a horror film,"Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll meet you there.",Battery
407976,$100 seems awfully steep for a smart case that stops working after 4 months,We are here to help. DM us the details of your issue and we can take a look at this.,Hardware / Accessories
2782026,I still can’t turn down the volume without it going straight to mute on my iPad how about you create an update that fixes that shit.,That's not what we'd expect to happen. Let's meet up in DM to check this out together. What iOS version shows in Settings > General > About?,Calls / Audio
1679928,iPhone 6 with the latest version of IOS,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Other / Unclear
2429216,"Yo I️ loved the movie “I️t” as much as the next guy, but now I️ every time I️ type “it” it comes out as “I️t” and it’s really starting to piss me off. This took 30 minutes to type because of I️t. Damn I️t. Fix this.",We'd be glad to be of assistance. We have addressed this issue in our recent iOS 11.1.1 update:,Keyboard / Input
542333,"Thank you. I have had nothing but problems all week. First my Mac, then iPad and now iPhone. Not impressed at all at the moment.",We can assist with the resetting problems. We need to get you updated to iOS 11.2. You've taken an important first step by disabling Notifications. Use the instructions here to finish the installation and you'll be able to turn them back on.,Other / Unclear
1338027,I didn’t know it wasn’t really disabled until searching 4 why it seemed to auto enable every morning after I turned it off the previous day,We don't have info on upcoming updates but suggest you leave your thoughts on this at our feedback site:,Other / Unclear
2301951,"Hey, can I️ have my I️ back please!?","An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",Keyboard / Input
2014456,why is keyboard suddenly typing i as a symbol since the 11.3 update?,Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,Keyboard / Input
1476919,Got a charge from itunes for $10.85 on 10/25 at 6:31pm. I didn’t buy or renew anything. I want a refund!! Scam,We're here to help. Let's start here:,Purchase / Billing / Store
802449,11.0.3 - confirm,Thank you. DM us what country or region you're located in.,Other / Unclear
174155,you wanna tell me why my (and my boyfriend’s) messages app keeps crashing every time I open it??? It’s an iPhone 7 Plus. Wtf and yes everything is fully up to date. Most annoying thing to not have working.,"Let's help get Messages up and running as expected. Reply by DM, and we'll take it from there.",Messaging / Photos
2301167,fix the damn glitch already!,We're here for you. Can you provide us details on what's happening?,Other / Unclear
2001077,y’all gonna fix I️ now or what,"We understand your concern. Tell us in a DM, when did you first notice this happening? Which device are you using?",Keyboard / Input
254072,"I have. Issue is that when I recieve iMessages they go to my phone & not to my Mac, unless I type a reply on the mac. Then new appear @ once","We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",Messaging / Photos
2446380,my phone win’t tell me if anything needs to be updated and it won’t download any new apps. I’ve updated and I have storage,"Help is here! Let's take a look at this together. To get started, what iOS version is currently installed? To find out, navigate to: Settings > General > About. Also, do you experience any errors?",App Problem
2825492,Why is my battery going down so fucking fast,"There can be many factors which affect the performance of your iPhone battery. We're happy to look into this with you. To begin, DM us which device we're working with and the operating system version number it's running.",Battery
949694,why can’t I hear anybody when I make a call? They can’t hear me either. But yet it will work whilst I’m on WhatsApp 😤,Let's meet up in DM to get some more detail. Thanks!,Calls / Audio
394087,Is anyone else being made nauseous by the #iPhone home screen transitions movement? Using aurora background. #iOS11.0.2,We'd be happy to look into this with you. Please reach out to us via DM and we'll get started.,Other / Unclear
2748427,How do I easily turn off night-shift mode in the new ios? (Used to be on the control panel.),That's a great question! You can still control Night-Shift from the Control Center in iOS 11. The following article provides some great information about the changes and where to find feature controls.,Software / OS Update
243322,My question was: Why keep the wi-fi (and Bluetooth) going on once I switched them off?,We recommend checking out this link for more info on Bluetooth and Wi-Fi:,Connectivity
1564003,I’m sick of these question mark boxes fix this!,We can help get that fixed. Try these steps here: Let us know if that works well for you now.,Keyboard / Input
1333743,Dear please fix bugs after releasing iOS 11 above all improve battery life or i will buy,We want to help. Meet us in DM and we'll work towards a solution together.,Software / OS Update
1149742,İphone 7 kullanıcısıyım ios 11 kullanmaya başladım başlayalı telefon donmaya başladı nedir bunun çaresi,We offer support via Twitter in English. Contact us for help in your preferred language here:,Device Performance
1716661,"Yo can you make this shit stop, please.",We know how important it is to have what you type come out correctly. Refer to these steps:,Other / Unclear
335732,Emojis not supported on smart invert ?!,We're here to help. You should still be able to use emojis when using Smart Invert. Are you unable to use them?,App Problem
588040,is there a way in iOS to show connected peripherals? Trying to troubleshoot issue with external device in 11.2 on iPad Pro.,"This depends on the device. For the best support, you'll want to reach out to the manufacturer for device specific troubleshooting steps.",Connectivity
2689491,"Instale asi ayer 11.1.2 y no arregla en nada la bateria... la han vuelto a cagar, o es una tecnica para q tengas q comprar modelo nuevo...",We offer support via Twitter in English. Get help in Spanish here: or join,Battery
892839,", sort your shit out with music on the control centre before i move to please",We'd love to look into this with you. Please click here to join us in DM here:,Apple Services / Media
1244449,I started seeing errors that the Windows couldn't connect to services. The computer was very slow.,That is not the intention of any software we send out. Please send us a DM so we may better assist you.,Device Performance
2497703,iOS 11 is going to make me quit .. Phone and apps are so slow .. I hate to even use it .. Don’t upgrade to iOS 11 !,"We want to help. Let us know via DM which device this is on, then we can help out from there.",Device Performance
816411,Same here!,Hi there! It would be our pleasure to help. Send us a DM with more information and we'll go from there.,Other / Unclear
873913,Oh sorry! I cant access anymore to seccion privacity for give permissions to apps where use them multimedia docs (photos) since last actuali,Let us look into this with you. DM us the details here:,Account / Security
1658282,HEY ! What the heck is up with the whole I️ issue?!,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Keyboard / Input
2728243,"iOS 11 has made the impossible real: for the first time in 10 years I hate my iPhone, makes it feel like a cheap android phone. Agan hargo.",Let's see if we can help get things working better. Send us a DM with more information on what's happening.,Software / OS Update
1538875,Wtf happened to airdrop on iPhone?!??,"Could you clarify the issue you're experiencing with AirDrop? Also, this article provides some details:",Connectivity
1951158,Isn’t it interesting that your iPhone battery dies when the new £1000 phone gets released? 🤔😔 #feelingmuggedoff #iphone,Hi there. We'd like to help out with your battery. Please DM and tell us what iPhone and version of iOS you have.,Battery
2977717,"Hey , my phone was working great....... until I updated to the latest software. Why!!!!!!!!!","We're here to help with getting your iPhone back to running as expected. Which iPhone are you using? Also, to confirm, you've installed iOS 11.1.2? You can check in Settings > General > About.",Software / OS Update
181347,hey can you help please ! My EarPods that came with my 6s have stopped working how can I get new ones ?,We'd love to help. Are these the original EarPods that came with your device? Let us know in DM.,Hardware / Accessories
1068842,a mi tambien me va fatal desde que actualice,We offer support via Twitter in English. Get help in Spanish here: or join,Software / OS Update
1484858,Hey can you help me?,We are here to help with your Apple products or features. What seems to be going on?,Other / Unclear
1442021,Ughhh is there another glitch in this damn update 😒. u blowing it . What’s wrong with my phone lol IIIIIIIIIIIII,What exactly is happening with your phone? Please let us know in DM; we'd love to help you.,Software / OS Update
2040468,Does anyone with an iPhone 6s Plus have an issue with the camera having a black screen??,"Let's look into this together. Send us a DM with any troubleshooting steps you've tried, and we'll get started.",Hardware / Accessories
1573674,Don’t understand why every time I type the letter “I” it changes it to weird symbols? fix it pls,Thanks for reaching out. This article can help: Let us know if we can be of any other assistance.,Keyboard / Input
2295372,Like pushing info from iTunes to the cloud doesn’t force the iPhone to sync the new music. I have to add any song from Apple Music to my library on my iPhone to make it sync,Thank you for that information. Please go ahead and update to our latest iOS 11.1.1 and let us know if the issue persists.,Apple Services / Media
298491,I get a mini black bar at bottom of my screen and a large black box on right side when on a call?! Fix it please!,We're glad you contacted us! We've received your DM and will reach back to you there.,Calls / Audio
1655523,"This is how every new lock-screen notification displays iPhone 8+, iOS 11.1","We'd be happy to help. Have you tried restarting the device? If this does not work, send us a DM.",Other / Unclear
1149791,music /youtube etc,"Thanks for clarifying. Here's a great place to start: If you still have issues, send us a DM.",Apple Services / Media
2078923,Hope youd fix all the bugs in the next ios update.,We'd be happy to address your concerns from here. Please send us a Direct Message using the following link to continue.,Software / OS Update
1745511,I️ I️ I️ I️ I️ I️.... Fix this shit 😒,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Keyboard / Input
1973782,how do we fix this issue with the letter I️?,"We want this working for you; we'll do all we can to help. To get started, let's connect in DM together:",Keyboard / Input
2220329,"help me.. my iPhone 5s is freezing on homescreen, can't adjust audio, after update to iOS 11.0.3. please fix it asap",We'd love to help. Could you Direct Message us and let us know what country you're located in?,Software / OS Update
332478,"ios 11.0.2 no funciona con normalidad, pone la pantalla en negro y el tiempo no responde bien con el widget, muy mal sistema.",We offer support via Twitter in English. Get help in Spanish here: or join,Software / OS Update
324292,with every macOS update I have to fix external monitor colors manually,Thanks for reaching out. Here is a helpful resource: Questions? Please let us know.,Hardware / Accessories
2288449,did the new update fix the I issue??,Indeed the iOS 11.1.1 update does fix that. Use these steps to back up: and let us know in DM if that update doesn't help.,Keyboard / Input
959407,Tell me you're bringing back the possibility to browse my iPhone music library on my Apple Watch in watchOS 4. Please.,"Hey there. We're always on the lookout for customer feedback, and invite you to submit yours here:",Apple Services / Media
1152799,I just sent the message ;),We received your DMs. Be on the lookout for our response there.,Other / Unclear
1396708,iOS 11.0.3 throws me out whenever I watch videos from fb/YouTube..! Using iPhone 6,We know it's important to enjoy your videos. We'd like to help out. Let's meet in DM.,App Problem
2479116,"How come theres a letter ""i"" in my emoji keyboard.... when i press it its just the letter i...... #whatswrongwithapple",We've received your DM and we'll follow up with you there shortly.,Keyboard / Input
823175,"Just got my MacBook pro back from screen delamination repair, came back with liquid damage. Please get back to me",Let's team up on this concern in DM. Send us a message using the link below.,Hardware / Accessories
1419653,yes i checked all the albums they are nowhere to be found,"Got it. Since you aren’t seeing them at all, please reach out to a Photos advisor for further help:",Messaging / Photos
2534797,It's unable to install update. An error occurred and that's after it try's verifying update,Thanks for that screenshot. Here is a great article to help you with that software update:,Software / OS Update
2500862,hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,"Let's figure that out so you can get back to enjoying those beats. Do you know which model Beats you are using? Once we identify the model, we can provide you the best assistance.",Hardware / Accessories
2706824,#iOS11 update has destroyed the battery life and performance of my “not so old” #iPhone6 ! Charging my phone for 3-4 times/day is so inconvenient! (1),We'd like to help you enjoy the battery life you expected out of your device. What iOS version are you currently on?,Battery
2520796,Help! My iPhone 6 (updated last night w/latest patch) keeps hanging up on calls I make before the 1st ring!!! It’s a phone first! Pls help ASAP!!!,Hi there. We know how important it is for you to be able to make your calls as expected and we're here to help. Let's meet up in DM and discuss it.,Calls / Audio
161232,This is the only message I get when I click on the song and it only downloaded half of the songs and when I try and hit the cloud to finish,We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.,Apple Services / Media
557730,Yes,Thanks for confirming! Our Photos team can look into this with you. You can reach out to them here:,Other / Unclear
1864999,"no clue what u did w newest update, but never had a phone that was so frustratingly slow. Samsung is looking better...","We’d love to help with the performance of your iPhone. To start, send us a DM letting us know which iOS version you’re using.",Device Performance
1735925,an you pls explain why we’re all dealing with “I” auto-correcting to the question mark and an exclamation point?,Here’s what you can do to work around the issue until it’s fixed in a future software update:,Keyboard / Input
959342,Holy fuck my phone lags so bad this is not acceptable,We'd be happy to look into this with you! Which iOS version are you on?,Device Performance
1903114,In the last two days my Apple Watch face popped off and now my iPad just went dead. I bought this a year ago. #wtf,We're sorry to hear your experiencing this at the same time. Join us in DM so we can assist you with these issues:,Hardware / Accessories
2043552,Ever since the new IOS11 updates all my phone does is freeze constantly! 😩😡,"You've come to the right place. Please ensure you have 11.0.2, and DM your model phone and country. We'll see you there!",Device Performance
1847540,iOS11 Calendar still doesn’t sync properly with MS Exchange. Why on earth do such fundamentals move backwards? cc,Send us a DM and let us know exactly what's happening with the Calendar syncing. We'll do what we can to help.,Software / OS Update
1670011,"No it’s random, I’ll swipe they will be gone, I swipe back they return. I’m on iOS11.0.3 but have had the issue since 11.",Does a restart help? Does it happen on multiple screens with different apps?,Other / Unclear
570150,"I’ve upgraded to iOS 11.2, but where is the Apple Pay Cash card option? Is there somewhere else I can set this feature up?","We're glad you asked! If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",Purchase / Billing / Store
2185514,"for the love of god please fix this I️ problem, it’s driving me crazy!!!","Thanks for reaching out! We've just released iOS 11.1.1 which addresses this issue. Learn more, here:",Keyboard / Input
1954670,How come releases the iPhone X and my 6S plus goes to shit? I’m about to be #teamAndroid,"We're happy to help you with your 6s Plus today, meet us in DM and let us know what's going on so we can proceed.",Device Performance
2615293,Bro 11.2 that’s the latest update,Thank you. Are you using a public beta or developer beta? What happened when you attempted to use Apple Pay? Respond in DM and we'll continue there.,Software / OS Update
40519,hi so I got an email my account was locked. But I’m pretty sure it was a fake.,We'd like to take a closer look at this with you. Let's continue our conversation via DM.,Account / Security
844221,Thank you for the prompt response. Installed iOS 11.0.3,"Reach out to us via DM, then we can dig in to this further with you from there.",Software / OS Update
2734355,Now my shit autocorrects “it” to “I.T” get your shI.T together,Let's work on this together. Which iOS version are we working with? You'll find that in Settings > General > About. Please DM us.,Keyboard / Input
1807920,since downloading ios 11.3 my phone has been awful always freezing when someone calls me I have to keep restarting my phone 👎🏾,Let's work on this together so you can enjoy your calls. Let us know in DM if your iPhone only freezes during phone calls.,Software / OS Update
1946649,"when I open Message from notifications on Apple Watch, it automatically scrolls all the way to bottom of auto responses. Why?",Thanks for reaching out. DM which Apple Watch and specific watchOS version you are using so we can help.,Messaging / Photos
723551,fill so much Irritating 😠 using iOS 11 everywhere got problem..,We're here for you. Please DM us what's going on and we can go from there together.,Software / OS Update
1930614,Why do I get the message that my order# “does not belong to the provided account” when I try to check my iPhone order status?,"We're glad to help in any way we can, or get you pointed in the right direction. Please DM us to proceed from here.",Purchase / Billing / Store
1920164,Manchester Arndale too busy to pick up phone so just cut me off x 3. No receipt for my Mon purchase - mis typed email? Help,We'd like to see how we can help. Let us know in DM if the email can be found in the spam or junk folder:,Purchase / Billing / Store
188501,I wish you could leave a video message like a voicemail thing when someone doesn’t answer your FaceTime 🤔 #Apple,Apple welcomes suggestions. Here’s a great link to submit your feedback:,Calls / Audio
1632387,"The app won’t open fully every time i️ try to access it. All i️ see is a black screen, then it just closes back out to my home screen.","Next step: Let's delete the Music app, reboot the device and re-download the Music app from the App Store. DM any questions.",App Problem
84257,is it normal for me to have to restart my Apple TV everyday to get it to work?,"The Apple TV should not have to go through a daily restart. To look into the Apple TV, let’s get you in touch with our Apple TV pros. You can reach them here:",Device Performance
1761176,ios11.0.3 sure is buggy.😡,"We'd love to help! If you already have a backup, update your iOS to version 11.1:",Software / OS Update
1033206,any idea?? Is this the new #pissedmode,We want to help. Which software version are you using? Does restarting resolve the issue?,Other / Unclear
1981678,why will my phone not write out the letter i HELP,Thanks for reaching out to us. We'd be happy to discuss this with you. Send us a DM so we can talk there.,Keyboard / Input
1471897,I️ have a 7 Plus. My phone has the latest update but I’m still seeing these weak ass boxes. What’s the deal ?,We'd like to look into this with you. Let us know when you first noticed this in DM to continue:,Other / Unclear
1901471,my phone is so glitchy 😤 #lastiphone #notworthitanymore,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together.,Device Performance
2138256,". should be ashamed of themselves for releasing iOS 11 with so many bugs, using my iPhone has been a nightmare for the past 2 weeks - constantly freezing, have had to restart multiple times after it bricked, can't type the letter I, what a joke",We want you to be happy with your phone. We'd love to look into this with you. Please DM us to get started.,Software / OS Update
1419657,"My iPhone 7 keeps on glitching whenever I’m in a app like YouTube the screen freezes but the audio playes, is it because ios11",We're happy to help. Let’s team up in DM and we’ll do our best to assist you.,Device Performance
676045,I don’t appreciate iOS 11 freezing my phone constantly,We don't want your iPhone freezing. Which iPhone & exact iOS version are you using?,Device Performance
307976,"Dear , please update High Sierra. These glitches are really freaking me out. Thanks in advance - a long time user.",We'd like to help. Could you clarify what specific application(s) you're having this issue with specifically?,Software / OS Update
1649557,The latest update (ios 11.1) is the worst I have ever seen. Had to restore my Iphone 7+ twice and the battery is draining fast !,We'd like to help. Did you restore a backup to your device both times? Let us know in DM.,Software / OS Update
1018324,I’ve noticed it most when I try to in messaging and photos. Like if I try to send a pic. But it happens randomly as well. :(,OK. Please share with us in DM the exact iOS 11 version your iPhone is running now to continue.,Messaging / Photos
350087,I get these. I get the code on my phone too. But no prompt on my laptop. Please help. It's been like this for many months now,We're here to help. What version of macOS are you currently running? Let us know in DM.,Account / Security
2957155,I got a iPhone 8 Plus I haven’t had a iPhone in years can anyone tell me what features does this phone have? I’m use to android phones,Congratulations on your new iPhone! This article here has some great info about the iPhone 8 and 8 Plus features And this has some great information for how to use your new iPhone,Other / Unclear
